iter	Passed	Remaining
420	2416	3323
421	2421	3317
422	2427	3311
423	2433	3305
424	2438	3298
425	2444	3293
426	2449	3287
427	2455	3281
428	2461	3275
429	2466	3270
430	2472	3263
431	2477	3257
432	2483	3252
433	2489	3246
434	2494	3240
435	2499	3233
436	2505	3227
437	2511	3221
438	2516	3215
439	2522	3210
440	2528	3204
441	2533	3198
442	2539	3192
443	2544	3186
444	2550	3181
445	2556	3176
446	2562	3170
447	2568	3164
448	2574	3158
449	2579	3152
450	2585	3146
451	2590	3141
452	2596	3135
453	2602	3129
454	2608	3123
455	2613	3117
456	2618	3111
457	2624	3105
458	2629	3099
459	2635	3093
460	2640	3087
461	2646	3082
462	2652	3076
463	2657	3070
464	2663	3064
465	2669	3058
466	2674	3053
467	2680	3046
468	2685	3040
469	2691	3035
470	2697	3029
471	2702	3023
472	2708	3017
473	2713	3011
474	2719	3005
475	2725	2999
476	2730	2993
477	2736	2988
478	2742	2982
479	2747	2976
480	2754	2971
481	2759	2966
482	2765	2959
483	2771	2954
484	2776	2948
485	2783	2943
486	2788	2937
487	2794	2931
488	2799	2925
489	2805	2920
490	2810	2913
491	2816	2908
492	2822	2902
493	2827	2896
494	2833	2890
495	2838	2884
496	2844	2878
497	2850	2872
498	2855	2866
499	2861	2861
500	2866	2854
501	2871	2849
502	2877	2843
503	2883	2837
504	2888	2831
505	2894	2825
506	2899	2819
507	2905	2813
508	2911	2808
509	2916	2802
510	2922	2796
511	2928	2790
512	2933	2784
513	2938	2778
514	2944	2772
515	2949	2766
516	2955	2761
517	2960	2754
518	2965	2748
519	2970	2741
520	2975	2735
521	2980	2729
522	2986	2723
523	2991	2717
524	2996	2711
525	3002	2705
526	3008	2700
527	3013	2694
528	3019	2688
529	3025	2682
530	3031	2677
531	3036	2671
532	3042	2665
533	3047	2659
534	3053	2653
535	3058	2647
536	3064	2641
537	3069	2636
538	3077	2632
539	3084	2627
540	3090	2622
541	3095	2616
542	3101	2610
543	3107	2604
544	3113	2599
545	3119	2594
546	3125	2588
547	3131	2582
548	3137	2577
549	3143	2572
550	3149	2566
551	3155	2560
552	3160	2554
553	3166	2549
554	3171	2543
555	3177	2537
556	3182	2531
557	3188	2525
558	3193	2519
559	3199	2514
560	3205	2508
561	3210	2502
562	3216	2496
563	3221	2490
564	3227	2484
565	3232	2478
566	3238	2473
567	3244	2467
568	3250	2461
569	3255	2456
570	3262	2450
571	3267	2445
572	3273	2439
573	3280	2434
574	3286	2429
575	3292	2423
576	3298	2418
577	3305	2413
578	3311	2407
579	3317	2402
580	3324	2397
581	3330	2391
582	3336	2386
583	3342	2381
584	3348	2375
585	3354	2370
586	3360	2364
587	3368	2359
588	3374	2354
589	3380	2349
590	3387	2344
591	3393	2338
592	3399	2333
593	3405	2327
594	3412	2322
595	3419	2317
596	3425	2312
597	3431	2306
598	3437	2301
599	3443	2295
600	3449	2289
601	3454	2284
602	3460	2278
603	3466	2272
604	3471	2266
605	3477	2260
606	3482	2254
607	3488	2248
608	3493	2243
609	3499	2237
610	3505	2231
611	3512	2226
612	3519	2222
613	3526	2217
614	3532	2211
615	3538	2205
616	3543	2199
617	3549	2194
618	3555	2188
619	3561	2182
620	3567	2177
621	3574	2172
622	3580	2166
623	3587	2161
624	3593	2155
625	3599	2150
626	3605	2144
627	3610	2138
628	3616	2133
629	3621	2127
630	3627	2121
631	3632	2115
632	3638	2109
633	3643	2103
634	3649	2097
635	3654	2091
636	3659	2085
637	3665	2079
638	3670	2073
639	3676	2068
640	3686	2064
641	3691	2058
642	3697	2052
643	3702	2046
644	3708	2041
645	3713	2035
646	3719	2029
647	3725	2023
648	3731	2018
649	3736	2012
650	3742	2006
651	3748	2000
652	3753	1994
653	3759	1988
654	3764	1982
655	3770	1976
656	3775	1971
657	3780	1965
658	3786	1959
659	3792	1953
660	3797	1947
661	3802	1941
662	3808	1935
663	3813	1929
664	3819	1924
665	3824	1918
666	3830	1912
667	3835	1906
668	3841	1900
669	3847	1894
670	3852	1888
671	3857	1882
672	3863	1877
673	3868	1871
674	3874	1865
675	3879	1859
676	3885	1853
677	3890	1847
678	3895	1841
679	3901	1835
680	3906	1830
681	3911	1824
682	3917	1818
683	3922	1812
684	3927	1806
685	3933	1800
686	3939	1794
687	3945	1789
688	3950	1783
689	3956	1777
690	3961	1771
691	3967	1765
692	3972	1760
693	3978	1754
694	3983	1748
695	3988	1742
696	3994	1736
697	3999	1730
698	4004	1724
699	4009	1718
700	4016	1713
701	4021	1707
702	4026	1701
703	4032	1695
704	4038	1689
705	4043	1683
706	4049	1678
707	4058	1673
708	4065	1668
709	4070	1662
710	4076	1657
711	4083	1651
712	4089	1646
713	4095	1640
714	4101	1634
715	4107	1629
716	4114	1623
717	4120	1618
718	4125	1612
719	4131	1606
720	4136	1600
721	4142	1595
722	4147	1589
723	4153	1583
724	4158	1577
725	4163	1571
726	4169	1565
727	4174	1559
728	4180	1554
729	4186	1548
730	4191	1542
731	4197	1536
732	4202	1530
733	4208	1525
734	4213	1519
735	4218	1513
736	4224	1507
737	4230	1501
738	4235	1495
739	4241	1490
740	4246	1484
741	4251	1478
742	4257	1472
743	4262	1466
744	4268	1460
745	4273	1455
746	4279	1449
747	4284	1443
748	4289	1437
749	4294	1431
750	4298	1425
751	4304	1419
752	4310	1413
753	4315	1408
754	4321	1402
755	4326	1396
756	4332	1390
757	4338	1385
758	4344	1379
759	4349	1373
760	4355	1367
761	4360	1362
762	4366	1356
763	4371	1350
764	4376	1344
765	4382	1338
766	4387	1332
767	4393	1327
768	4398	1321
769	4404	1315
770	4409	1309
771	4415	1303
772	4420	1298
773	4426	1292
774	4431	1286
775	4437	1280
776	4442	1275
777	4447	1269
778	4453	1263
779	4459	1257
780	4464	1251
781	4469	1246
782	4475	1240
783	4480	1234
784	4486	1228
785	4491	1222
786	4497	1217
787	4502	1211
788	4508	1205
789	4513	1199
790	4519	1194
791	4524	1188
792	4530	1182
793	4536	1176
794	4541	1171
795	4547	1165
796	4552	1159
797	4558	1153
798	4563	1148
799	4568	1142
800	4574	1136
801	4579	1130
802	4585	1124
803	4591	1119
804	4597	1113
805	4602	1107
806	4608	1102
807	4613	1096
808	4618	1090
809	4624	1084
810	4630	1079
811	4635	1073
812	4640	1067
813	4646	1061
814	4652	1055
815	4657	1050
816	4663	1044
817	4668	1038
818	4673	1032
819	4679	1027
820	4685	1021
821	4691	1015
822	4696	1010
823	4702	1004
824	4708	998
825	4713	993
826	4719	987
827	4725	981
828	4730	975
829	4735	969
830	4741	964
831	4746	958
832	4752	952
833	4758	947
834	4763	941
835	4769	935
836	4774	929
837	4779	924
838	4785	918
839	4790	912
840	4795	906
841	4801	900
842	4806	895
843	4812	889
844	4817	883
845	4823	877
846	4828	872
847	4834	866
848	4839	860
849	4844	854
850	4850	849
851	4855	843
852	4860	837
853	4866	831
854	4871	826
855	4877	820
856	4882	814
857	4887	808
858	4893	803
859	4898	797
860	4904	791
861	4909	786
862	4915	780
863	4920	774
864	4926	768
865	4932	763
866	4938	757
867	4943	751
868	4949	746
869	4954	740
870	4959	734
871	4965	728
872	4970	723
873	4976	717
874	4981	711
875	4987	705
876	4992	700
877	4997	694
878	5003	688
879	5008	682
880	5013	677
881	5020	671
882	5029	666
883	5035	660
884	5040	655
885	5046	649
886	5052	643
887	5058	638
888	5064	632
889	5071	626
890	5077	621
891	5083	615
892	5088	609
893	5094	604
894	5101	598
895	5108	592
896	5115	587
897	5122	581
898	5128	576
899	5134	570
900	5141	564
901	5147	559
902	5152	553
903	5158	547
904	5164	542
905	5170	536
906	5176	530
907	5181	525
908	5188	519
909	5194	513
910	5200	508
911	5206	502
912	5212	496
913	5218	491
914	5224	485
915	5231	479
916	5237	474
917	5243	468
918	5250	462
919	5256	457
920	5262	451
921	5269	445
922	5274	440
923	5280	434
924	5286	428
925	5291	422
926	5297	417
927	5302	411
928	5308	405
929	5313	399
930	5319	394
931	5324	388
932	5330	382
933	5335	377
934	5341	371
935	5347	365
936	5352	359
937	5358	354
938	5363	348
939	5368	342
940	5373	336
941	5379	331
942	5384	325
943	5389	319
944	5394	313
945	5400	308
946	5406	302
947	5411	296
948	5417	291
949	5423	285
950	5428	279
951	5434	274
952	5439	268
953	5445	262
954	5450	256
955	5456	251
956	5461	245
957	5467	239
958	5473	233
959	5478	228
960	5483	222
961	5489	216
962	5494	211
963	5500	205
964	5505	199
965	5511	193
966	5516	188
967	5521	182
968	5527	176
969	5532	171
970	5537	165
971	5543	159
972	5548	153
973	5554	148
974	5559	142
975	5565	136
976	5570	131
977	5576	125
978	5582	119
979	5588	114
980	5593	108
981	5599	102
982	5604	96
983	5610	91
984	5615	85
985	5621	79
986	5627	74
987	5632	68
988	5637	62
989	5643	57
990	5648	51
991	5654	45
992	5659	39
993	5665	34
994	5671	28
995	5676	22
996	5683	17
997	5688	11
998	5694	5
999	5700	0
