iter	Logloss
0	0.6190253478
1	0.5491291717
2	0.4906896809
3	0.4572282471
4	0.4207142245
5	0.3920455917
6	0.3628203439
7	0.3430715775
8	0.3272772791
9	0.3130591696
10	0.2964507674
11	0.2803538924
12	0.2691430243
13	0.2574151828
14	0.2472863567
15	0.2396839946
16	0.2337336157
17	0.2278065989
18	0.2226904441
19	0.2179753136
20	0.2136488606
21	0.2089234127
22	0.2054247757
23	0.2020563957
24	0.1986694543
25	0.195791272
26	0.1923014627
27	0.190364957
28	0.1881210719
29	0.1845481352
30	0.1814738464
31	0.1792258917
32	0.1772821024
33	0.1756796457
34	0.1729552245
35	0.1713808493
36	0.1696603603
37	0.1682890942
38	0.1654001816
39	0.1636638983
40	0.161881095
41	0.1602563096
42	0.1587601527
43	0.1574545294
44	0.1562217004
45	0.1550801557
46	0.1537281487
47	0.1526190415
48	0.1514934692
49	0.150592666
50	0.1494484538
51	0.1473400617
52	0.1460701875
53	0.1451602513
54	0.1440818609
55	0.1429514707
56	0.1422145362
57	0.1416184153
58	0.1408093089
59	0.1399921181
60	0.1391818019
61	0.1385505396
62	0.1378648376
63	0.1371351355
64	0.1365102463
65	0.1357296653
66	0.1350963796
67	0.1341429149
68	0.1325767181
69	0.1314699111
70	0.1307573893
71	0.130085624
72	0.1295333851
73	0.1286589941
74	0.1279627682
75	0.1276193863
76	0.1270559323
77	0.1264910738
78	0.1258703595
79	0.1250828743
80	0.1246329365
81	0.1241451922
82	0.1237922703
83	0.1231111026
84	0.1226285545
85	0.1219713271
86	0.1212539033
87	0.1206927561
88	0.1201752088
89	0.1194987899
90	0.1189403685
91	0.1181420387
92	0.1175406611
93	0.1171078083
94	0.1166772422
95	0.1161013902
96	0.1157086542
97	0.1153758379
98	0.1147629795
99	0.1141742306
100	0.1138120249
101	0.1129968427
102	0.1126800029
103	0.1120391949
104	0.1116148893
105	0.1112473161
106	0.1109026266
107	0.1103451422
108	0.1098885391
109	0.1094816527
110	0.1088352544
111	0.1085882059
112	0.1080097359
113	0.1077625136
114	0.107355779
115	0.1070578803
116	0.1065589998
117	0.1062812331
118	0.1058712169
119	0.1056127939
120	0.1053069596
121	0.1050098839
122	0.1046141183
123	0.1042384613
124	0.1039032811
125	0.1036978334
126	0.1034991136
127	0.1032123409
128	0.1028931797
129	0.1024581678
130	0.1021880814
131	0.1019044828
132	0.1016122306
133	0.101346259
134	0.1011397388
135	0.1007821795
136	0.1005490827
137	0.09977961831
138	0.09949034836
139	0.09922144775
140	0.09892408466
141	0.09862136504
142	0.09838620402
143	0.09816681045
144	0.09793071918
145	0.09762710032
146	0.09742406964
147	0.09706949753
148	0.09679774761
149	0.09654979393
150	0.0963666808
151	0.09605259337
152	0.09570343078
153	0.09550330983
154	0.09532445225
155	0.09508494976
156	0.09492320246
157	0.09465150467
158	0.09447136955
159	0.09422777905
160	0.09393952303
161	0.09363346596
162	0.09338942992
163	0.09307469243
164	0.09293073595
165	0.09260213194
166	0.09243537357
167	0.09220573591
168	0.09199450853
169	0.09156125134
170	0.09115935958
171	0.09091028485
172	0.09068879061
173	0.09042534924
174	0.0902048036
175	0.09008253527
176	0.08983922317
177	0.08964874398
178	0.08942298169
179	0.08918788305
180	0.08903925926
181	0.08881200796
182	0.0884926743
183	0.08824715229
184	0.08806124428
185	0.08785894704
186	0.08767608558
187	0.08751582467
188	0.08720795343
189	0.08705673397
190	0.08685889111
191	0.08647692661
192	0.08631224206
193	0.08614198874
194	0.08592370226
195	0.08573115509
